Id,SalePrice
1461,124310.16272729094
1462,155548.95963040512
1463,183211.18949559666
1464,194449.5601345051
1465,189490.6521340232
1466,175877.59107602984
1467,176582.3561424578
1468,171391.08163323524
1469,182497.7090691271
1470,126215.2756753843
1471,191414.9525484755
1472,89676.39180292332
1473,98316.76791871205
1474,152436.36521256776
1475,124469.72006235938
1476,363139.07172265236
1477,259878.5004837018
1478,280467.0362595692
1479,279518.40796755377
1480,469528.9236459535
1481,348463.3193088247
1482,209583.86589821937
1483,177429.79822650988
1484,165349.94139315523
1485,179677.64195191566
1486,195933.19147262658
1487,335055.70740284916
1488,239596.26483053085
1489,197001.08359584908
1490,224278.3649197794
1491,188944.63198575945
1492,88238.22434754048
1493,182142.0030438388
1494,292616.4755944801
1495,301464.01680048555
1496,235176.1804208068
1497,182698.78490627185
1498,163603.7221389447
1499,162064.14425245684
1500,148950.28164006842
1501,171387.49072161815
1502,155779.2477227948
1503,293417.5817972712
1504,237680.1701479452
1505,232231.2358249238
1506,180756.76149575575
1507,234138.3686849191
1508,194654.7780524408
1509,163992.68620294446
1510,147487.9387554514
1511,141772.67364771548
1512,167553.20763954663
1513,143305.92176031444
1514,158983.90784795597
1515,185017.8351838812
1516,153564.5664714971
1517,154152.22751206558
1518,126263.34396545943
1519,219608.34933513874
1520,136562.3817715974
1521,134977.40634774076
1522,166082.43230741326
1523,116230.78896160203
1524,125503.04361722911
1525,125930.08678420355
1526,127445.9497229883
1527,102179.3716176453
1528,133205.33408240828
1529,144349.95335465277
1530,175534.68458344226
1531,105125.15135161352
1532,101792.23275068986
1533,144340.96826766912
1534,112563.54005565484
1535,155565.261549992
1536,112008.18193166426
1537,60807.1435417056
1538,167687.15554829247
1539,193980.24192981375
1540,96966.52978658958
1541,144899.61693615673
1542,144965.8540022613
1543,221519.83977100957
1544,78881.3383616633
1545,112477.488534339
1546,128514.95556331384
1547,137189.25674318592
1548,132308.61566297556
1549,106151.79802862515
1550,136456.3468104952
1551,112654.3525232072
1552,120932.57128016984
1553,149890.01613580828
1554,106396.0297316102
1555,170975.10482486174
1556,93661.35506781451
1557,115406.71341298928
1558,88215.82555832513
1559,96382.48788877536
1560,141845.78517038486
1561,134492.59209242405
1562,126483.96733958164
1563,118254.12832622709
1564,158126.29314526805
1565,143428.75235420646
1566,231502.19812760522
1567,65465.8100677052
1568,224837.19416362312
1569,138210.4114983165
1570,133445.77205469247
1571,110446.67479472664
1572,147760.70842781814
1573,234078.4369242409
1574,109189.11302768152
1575,216813.77754305673
1576,226232.5900093024
1577,186526.89945726874
1578,144972.5203507471
1579,148361.1884213332
1580,190915.108000522
1581,148641.01288174538
1582,130437.82257933296
1583,334729.72164413857
1584,229435.3034143286
1585,143586.34783779684
1586,65023.09958946764
1587,97852.75964798697
1588,142462.77246471768
1589,100659.48684496921
1590,130488.6648737622
1591,93755.46401969281
1592,125363.19246737433
1593,127459.41258660457
1594,137706.94430572863
1595,116517.96747686106
1596,254746.33480612002
1597,182236.16059989456
1598,200363.76438382684
1599,170995.68951077294
1600,167328.5628058001
1601,59791.359869024825
1602,106038.66353183954
1603,89393.4297934769
1604,271462.5667498077
1605,246584.65453471153
1606,174216.81027497954
1607,153878.38845953796
1608,214030.6538660675
1609,184296.57659357646
1610,154605.59024813605
1611,142763.47540622318
1612,158567.80447931524
1613,161589.5704681402
1614,126718.20799240758
1615,85175.30225737431
1616,71583.45214108456
1617,89868.90332493366
1618,123663.1084542888
1619,138945.48640825745
1620,153325.37515408316
1621,137157.52299764418
1622,137246.91080000918
1623,271678.7293560152
1624,211817.36333953257
1625,122852.26170952542
1626,162876.34143147868
1627,185619.68753201247
1628,273222.45913443575
1629,176677.12444790927
1630,358755.34016486426
1631,215100.1845228023
1632,253229.22385275905
1633,170633.95601216762
1634,188739.199576674
1635,177587.91097547353
1636,159797.23504439121
1637,193532.61367319984
1638,198474.93728095872
1639,175812.15007123142
1640,262247.72249334084
1641,174459.52258280624
1642,221964.7009518319
1643,224543.39127190367
